状元烤场(大学路总店),0371-86062929/400-003-1321,二七区大学路与中原路交叉口向南100米路东永辉超市2楼
繁花里花艺,13513717117,高新区雪松路迎春街交叉口公园道V公馆C座11楼1116室
爱花居鲜花店(金水1988店),400-051-8210,金水区郑汴路与玉凤路交叉口向南200米路西陈砦花卉市场4楼4126
康明眼镜(英才街店),15538165869,惠济区文化路英才街向东100米国基大学城生活区东商业楼2楼（生活区入口左侧二楼）
与花说鲜花工作室(富田太阳城店),17788108849,管城回族区未来路与航海路交叉口向东20米（一站式广场）
花意浓鲜花速送(医学院店),17337107565,二七区大学北路与建设东路交叉口东行500米路北
爱丽丝花坊(圆满鲜花),13523090276,金水区南阳路南阳新村街道办事处南30米
先花店(管城分店),13783597318,管城回族区管尚文路25号1号楼1层109号（美景芳邻小区一楼109室）
博世达眼镜,18838003226,金水区宏昌街商都世贸中心A座1105室
莫奈鲜花,0371-55698767/13733850887/18939508767,二七区大学路陈砦花卉市场3楼3066号
花儿样幸福鲜花工艺坊,13383837789,金水区中方园路国基路陈砦花卉市场（北环，海洋馆）
金兰鲜花店,15286827142/13014503081,高新区建设西路一五三医院大门东80米路北（航天宾馆西邻，阳光幼儿园旁）
香满怀花艺(大卫城店),15903623539/13598045422,管城回族区太康路与二七路交叉口向南50米
花西拾鲜花(雅诺花苑店),18739937585,中牟县青年路宽豪斯北门向东100米路南
目明阁眼镜店(远大店),0371-53398978/18003819097,管城回族区郑州经北二路56号远大理想城57号楼一楼商铺
左花(93店),13526859064,金水区国基路中方园路交叉口西南角069
提一眼镜特卖(龙子湖店),13071096162,金水区博学路正商学府广场B座2-203
郑州市金水区隆庆鲜花店(隆庆鲜花),0371-63698559/15938776673,金水区黄河路39-3号(光大银行对面)
世纪大明眼镜国际品牌折扣店(博金店),0371-60115000/13967792886,金水区南阳路与宋寨南街交叉口升龙汇金广场丹尼斯2号门左边第一家 139号世纪大明眼镜
海鸟花艺(黄河路店),13223082662/15290857796,金水区文化路与黄河路交叉口西100米（近郑州人民医院）
笑笑花店(锦艺城店),18937154923,中原区桐柏北路王府井A座6楼
欧漫花艺,18037301803/15036099542,金水区众意西路地润路3号
鲜花小屋,18137153803,新郑市龙湖镇双湖大道高坡岩菜市场口西邻第三家（面对双湖大道）
花间集(永威翡翠城店),18595807288,金水区通泰路42-9号永威翡翠城3号楼
花镇?鲜花(国贸店),18595737674,金水区花园路丰产路交叉口西（国贸酒店公寓）
视野联行眼镜(全国连锁-新世界店),0371-61658665/18638274927,管城回族区紫荆山路裕鸿国际A座10楼1001室（新世界海底捞楼下必胜客右手边门进入）
玫瑰之约(西彩花艺),13526573527/13283824773,二七区西陈庄后街39号
花草阁鲜花店,18236773417,荥阳市福民路与康泰路交叉口海龙时代广场
宝视达眼镜(晶华城店),0371-55019545,中原区冉屯路洲海路北300米晶华城西门宝视达
初见花颜鲜花速递(橄榄城店),13838189184/13460351686,二七区佛岗东路佛岗新居（世纪联华超市旁）
悦薇记鲜花速递,13849027151/13703990147,二七区大学南路二七万达3号院8号楼内
绿色港湾鲜花绿植店(曼哈顿店),15936208675,金水区金水路与未来路曼哈顿广场7号楼
IDO鲜花速递(国贸360店),15981932906/15838147323,金水区农业路和花园路交叉口东北角锦绣正弘国际公寓
芊寻花艺(锦艺店),13837103024/13939021231,中原区棉纺路王府井后面锦艺华都2期1-28商铺（锦艺2期东门向北80米路西）
爱之裳鲜花(优胜南路店),400-969-1299,金水区优胜南路与劳卫路西行100米路北
星火花坊,15890092162/18039505002,金水区郑汴路与玉凤路交叉口向南300米陈砦花卉4楼4094（曼哈顿，凯德广场）
惟美鲜花,15333808798,二七区汉江路与人和路交叉口东南角
深度缔造花卉商行(百盛店),15538196681/13663832336,管城回族区北下街22号
花巷 ? 鲜花定制(二七万达店),17752505450/18538750987,二七区大学路航海路二七万达3号院
深度缔造花卉商行(美景鸿城店),13663832336,管城回族区美景鸿城启明路七里河小区8号楼
幸花坊,13353773957,金水区郑东新区龙子湖高校园区河南财经政法大学商业街2楼
雅歌鲜花(二七区店),13298189971,二七区大学路与汝河路交叉口东南角
伴生缘花店,18837179980,金水区文博西路白庙小区4号楼2单元404号（百脑汇）
半亩花田(福都广场店),13838597706,管城回族区航海东路74号（近福都广场）
紫光眼镜(崔庄店),0371-68092990,金水区郑东新区宏图街与百福街交叉口向东20米路南
伊人花坊,15514506665,金水区原盛国际5号01室
花西拾鲜花(靓丽花行),13503827604,金水区国基路陈砦花卉市场鲜花零六九号
半亩花田(农业东路店),13838597706,金水区农业东路与众意西路交口南100米路西（熙地港丹尼斯七天地圣玛温哥华庄园）
花一涧花坊,18790028191,金水区金水金街二层2-213
欣义花卉,13837177771/13007543109,二七区京广路与康复前街交叉口向西100米路南
花絮鲜花店,15137131983,中原区建设西路与工人路交叉口向北50路西（棉纺四厂中街）
花仙子?鲜花定制(富田太阳城店),15003852283,管城回族区航海东路中州大道交叉口
花样年华(听花语轩店),400-897-8769,巩义市滨河大道25号
爱慕鲜花?向日葵鲜花店,13838001735/18143903000,中原区秦岭路与汝河路交口西北角
花冠鲜花(乙甲花艺鲜花店),15838377113,新密市西大街与气象北街交叉口
一只猫的晃悠鲜花工作室(国贸店),15838343119/13916806496,金水区花园里与丰产路交叉口向西200米路北国贸酒店公寓1号楼二单元30楼3019室
玫瑰之约(唯美花艺),0371-63350197/13513891657,管城回族区紫荆山路商城路交叉口向东150米路北（商城路8号）
花匠时光,0371-53379795/15378780899,金水区郑汴路与玉凤路交叉口向南200米路西陈砦花卉4楼4130（凤凰城，东建材，曼哈顿，美景天城等）
花之恋鲜花花艺馆,13526664917/13526661459,金水区经三路与丰产路交叉向西50米路南（财富广场）
妞妞花店(大卫城店),18595807288,二七区人民路二七路交叉口
HM花迷?坊鲜花速递(锦艺城店),13333846208,中原区棉纺西路锦艺城C区月星家居广场2单元
花花世界鲜花店,17839977698/15838114778,金水区国基路陈砦花卉市场鲜切花区100号
舒心花坊,13526673230,二七区兴华雅苑一号楼二单元2706
晴天花艺馆(国贸360店),15893986884,金水区丰产路54号
玫瑰花坊(郑州久久鲜花),13526501536,二七区长江路与碧云路交叉口向北100米路西
蜜花坊鲜花店(农业南路总店),0371-55957520/15036197852,管城回族区农业南路与康宁街交叉口向南50米路西
米兰花艺,17503992585,金水区东四环金光农民花卉创业园B馆6排28号（B馆东1门）
爱心花坊,17838326960,金水区文化路与丰产路交叉口向西150米路北
绿色港湾鲜花绿植店(农科路店),15936208675,金水区农科路农业科学院东家属院1号楼7楼
锦尚鲜花,0371-86631138/15286827142,高新区建设西路与西四环交叉口153医院东50米
巨恒眼镜工厂店(升龙汇金广场店),18236906609,金水区南阳路与宋寨南街交叉口升龙汇金广场2号门进左拐直走50米一楼2-166号（市场最西边上下电梯旁）
沐阳花店(曼哈顿店),17839991126,金水区玉凤路1号
两只小熊鲜花速递(大卫城店),15237196346/15093334502,金水区二七路与东太康路交叉口向北30米路东
芳默鲜花(国贸店),13273802552,金水区花园路39号国贸360广场3号楼1单元2603
玫瑰缘分鲜花店(花园路店),15343836656,金水区花园路与农业路交叉口向南500米路西（金水区 建文新世界  国贸360  动物园  关虎屯）
深度缔造花卉商行(新通桥店),13383826098,金水区金水路与文化路交叉口向东50米路南建达大厦403A室
爱恋鲜花(怡缘鲜花),13783641887,管城回族区商城路与东明路交叉口向西300
爱丽丝花坊(林妹妹鲜花店),13526472606,金水区国基路中方园路交叉口西南角陈寨花卉市场路鲜花区38号
HM花迷?坊【鲜花速递】(二七万达店),13333839408,二七区大学路航海路二七万达3号院
Themorning 熹微?花房,0371-61282881/18625539004,惠济区新城路睿谷三期（万达广场东北角）
两岸鲜花,13592462713/18638646713,二七区京广路与政通路交叉口北80米路东
花样年华(花色满屋店),400-897-8769,中原区文化宫路28号
花镇?鲜花工作室(中原万达店),18595737674,中原区秦岭路与中原中路交叉口西北角海森林门面房
氧吧多肉植物生活馆,15838006792/15617798570,中原区锦艺美域1-27商铺
玫瑰传情鲜花速递?君君花坊,13721449376/13598837202,二七区航海路与京广路交口向东300米路北
IDO鲜花速递(锦艺城店),15981932906/15838147323,中原区棉纺西路锦艺国际华都美域5栋
俪缘花店(升龙又一城店),0371-57111657/15890074512,高新区高新区科学大道89号科学大道与春藤路交叉口西南角商业街第二排（奥斯卡影城又一城店向东100米，闪慕养生会所隔壁）
520花坊,15516978502/13140173062,金水区黄河路与经五路交叉口西南角
相约花坊,18625578221,登封市菜园路洧河路交叉口西20米路南（农业银行）
深度缔造鲜花速递(阳光花苑店),15538196681,高新区中原路与西环路交叉口西500米路南
花仙子?鲜花定制(CBD店),15003852283,金水区商务外环路丹尼斯6天地F3
花意浓鲜花速送(锦艺城店),15538227526,中原区桐柏北路与棉纺路交叉口南150米
目明阁眼镜(乐尚店),0371-55957589,管城回族区经南四路15号-10
唯爱鲜花(国贸店),13303812916,金水区农业路花园路交叉口西南角国贸中心二楼
七里香花坊(东大街店),13623833313/13253300877,二七区紫荆山路和东大街交叉口西行500米路南
唯爱生活花艺馆(大卫城店),18237175150/15136269175,二七区西太康路民主路交叉口（万象城北3门）
花冠鲜花(郑州林妹妹花坊店),13526472606,金水区国基路中方园路陈砦花卉市场38号
新一品花艺(兴荣街店),0371-61175283/13653978103,金水区兴荣街与百福街龙祥苑北门13-15号
温馨花艺(经一路店),18768870994,金水区经一路与农业路交口向南100米路西（丰产路派出所北20米）
香满怀花艺(锦艺城店),15903623539/13598045422,中原区棉纺路与桐柏路交叉口向西100米
美丽多?美瞳隐形眼镜(国贸店),15903714991/18569921305,金水区花园路国贸360广场国贸A座1109室
爱之裳鲜花(未来路店),400-969-1299,管城回族区未来路与石化路交叉口凤凰台南花园底商
花园铺子,15517517606,金水区金水路216号广汇PAMA（cbd 曼哈顿）
花样真多鲜花手作坊(国贸店),13523450172/15036069741,金水区花园路与丰产路交叉口国贸酒店公寓1号楼2单元3016
花涧花艺鲜花花店,19939131689/13014630198,金水区商都路1号红星蚂蚁SOHO23楼2323
歆歆花艺(须水店),13014662883,高新区建设西路与河东路中翔广场西排门面
深度缔造花卉商行(鑫苑店),15538196681/13663832336,二七区陇海中路鑫苑鑫都汇内
香满怀花艺(二七万达总店),15903623539/13598045422,二七区大学中路二七万达向北300米路东
姝语鲜花店,13663949946,惠济区新城路田园风光9号楼4单元1楼东户（惠济区政府）
悦薇记鲜花速递(中原万达店),13703990147,中原区中原中路171号万达写字楼A座20层
十月花艺,15225063527,高新区翠竹街与长椿路交叉口北行300米路东（近郑州大学，河南工业大学）
雷诺眼镜(建业店),19903803587,金水区宏伟街建业五栋大楼旁
植觉花艺生活馆,15093232150/18738186474,金水区东风路与花园路交叉蓝堡湾底商
花果小屋,13253630566/13525152155,金水区东里路14号
宝视达眼镜(蓝堡湾贵人街店),0371-63335716,金水区东风路与文博东路交叉口向南200米贵人街宝视达
酷木鲜花店(国贸店),15617952586/17319753882,金水区花园路与丰产路交叉口向西25米
冬儿花艺鲜花速递,13203732985/13523431014,二七区陇海路庆丰街鑫苑现代城2号楼611（近鑫苑鑫都汇，火车站，武警医院）
山茶花艺工作室,15515720497/13949001773,惠济区英才街田园路保利海上五月花三期3单元2号楼603
星亮眼镜,15638846583/18237103013,中原区伊河路与文化宫路交叉口南80米
花冠鲜花(郑州花情巧意),13603998193,金水区林科路6号院非常国际2期1单元2707室（中州大道林科路非常国际2期）
花漾时光,18538096630,中原区电厂路1号（电厂路泾河路大学科技园向北50米路西）
美美鲜花,15286809720,二七区京广中路与淮河东路交叉口西侧
深度缔造鲜花速递(碧沙岗店),0371-65369520,中原区嵩山北路与建设西路交叉口（天龙大厦1楼）
宝岛眼镜(丹尼斯七天地店),0371-85512779,金水区郑东新区商务西一街与众意路丹尼斯七天地1楼
一品鲜花连锁店(火车站二七广场店),0371-65335875/15803820572,二七区南关街268号
玫瑰缘分鲜花(九如东路店),15343836656,金水区商务内环路与九如东路交叉口向南100米路东（近郑东新区CBD会展中心）
幽然鲜花(柳林店),0371-63555753/13949115746,金水区花园路与三全路交叉口柳林正通花园广场2楼
花痴坊鲜花店(棉纺路店),0371-56003518,中原区棉纺路桐柏路交叉口向北80米
柒熙?定制 眼视光(二七万达店),15617777207,二七区大学路与航海路交叉口二七万达13号楼1719
爱尚花艺,0371-66598986/13203712768,金水区城北路与东明路交叉口向西50米路北（东明路口西侧）
锦上花鲜花婚庆店,15093297114,中原区秦岭路与伊河路交叉口向南200米路东（近郑州中原万达广场）
一品鲜花连锁店(国贸360店),0371-65335875/15803820572,金水区政七街17号
利明眼镜城(花精店),0371-65656399,金水区花园路与红专路交叉口南500米路西（中环北侧）
半亩花田(曼哈顿店),15003852283,金水区玉凤路金水路297号
花仙子花艺,13333828292,二七区郑州市二七区橄榄城御景台小区3号楼二单元135
520鲜花(馨怡鲜花婚庆),13598413861,二七区工人路1号
遇见鲜花,18739937585,管城回族区长江东路
明视达眼镜(纬四路店),0371-65972579,金水区花园路10号(花园路与纬四路交叉口路口东南角)
玫瑰缘分鲜花(建业路店),15343836656,金水区凤鸣路与建业路交叉口向西200米路南（郑东新区 凯德广场  东建材）
深度缔造花卉(小岳花坊2店),0371-65369520,管城回族区航海东路纵横书院永邦茶叶隔壁
爱花居鲜花店(大上海1409店),400-051-8210,管城回族区北下街16号北3号
毛毛雨花市,0371-64667788/13592515099,荥阳市万山路与索河路交叉口北200米路西
小公主花店(金成时代广场店),15638892998,金水区黄河路与姚砦路交叉口向北200米路东
嘉保圣视眼镜4s店,13939049757/17335582825,金水区文化路俭学街北100米（陈中数理化楼下）
美尚美鲜花(锦上花鲜花),15093297114,中原区桐柏路与汝河路交叉口西南角
木木花舍鲜花速递(金水总店),18237110919,金水区商都路十里铺街交口北100米
花花视界鲜花速递(东区店),15937131525/18703696790,管城回族区商鼎路与农业南路交叉口东南角（近鼎盛时代）
花痴坊鲜花店(国贸店),0371-56003518/18037868627,金水区花园路丰产路交叉口向东200米路南花痴坊鲜花店
锦绣植物花坊,17719805067,二七区南彩路牛顿公馆背面
氧吧JY鲜花艺术工作室,15838006792/15617567794,中原区棉纺路与桐柏路交口锦艺美域2期东门商业街北1-27号商铺
珍爱鲜花(7店),4006231316,二七区二七塔向东50米好运花卉城一门面A2-5
深度缔造花卉商行,13383826098,二七区大学路花卉市场3楼3116
爱尚花艺(美尚美鲜花),0371-62195054/13633714968,中牟县学苑路与兴安街交叉口西50米路北
半亩花田(通泰路店),13838597706,金水区商鼎路与通泰路交叉口东北角
蝶恋花鲜花,15324965652,金水区福元路海燕花苑南门东行20米（未来路与福元路交叉口东行100米路北）
花梦间创意花舍,18838286589,金水区丰产路42号西关虎屯村内
城市鲜花,18638238691,管城回族区康平路与康宁街交叉口奥兰花园4-7
深度缔造花卉商行(人民路店),13383826098,金水区人民路2号
都市花艺(曼哈顿店),15738812370,金水区未来路金水路曼哈顿广场2号楼B2212室
森林深处花艺,15378738228,金水区郑汴路与玉凤路交叉口南200米陈砦花卉4层4093（陈砦花卉市场四楼4093）
木兮花艺工作室,17516015928/13014699121,惠济区南阳路170号郑州清华园3号楼3单元6楼4户
吉祥花卉(龙湖店),13253575112/13526450620,新郑市龙湖镇双湖大道与文昌路交叉口向南200米路西
520鲜花(芙莱花艺),15238326058,金水区八里庙南五社区十二号楼头郑州康济医院附近
恋人鲜花(紫荆山广场店),18736062610,金水区金水路与花园路交叉口紫荆山公园旁
幸运之花,13592646907,金水区东四环路郑东花卉市场B1馆西2门口右手边第一家西排13号
爱花居鲜花店(管城1403店),400-051-8210,管城回族区河南绿旺花卉交易中心（管城新郑路附近）
宸可鲜花(万科城店),15036061738,高新区科学大道红叶路交叉口向北200米，3号楼802
海鸟花艺(熙地港店),15290857796/13223082662,金水区农业东路15号
清丽花店(碧沙岗店),13592613261,二七区中原东路交通新苑社区48号楼4楼西户
深度缔造花卉商行(帝湖店),0371-65369520,二七区航海路与工人路交叉口向南180米路东
和花说植物花店(锦艺城店),15038377307,中原区棉纺西路F3-3012（锦艺城百货一层）
花阁先生鲜花生活馆,17839987783,二七区连云路
怡丰鲜花(生产路店),18539285785/13683711068,金水区丰乐路生产路向东30米路北
北京精之益眼镜视力康复中心,0371-55087555/18625509897,金水区博金眼镜城正大门右边134号（南阳路歌迷 博金眼镜城）
初见花舍鲜花速递(五里堡店),13838189184,管城回族区航海路与紫荆山路交叉口永恒理想世界
时光花房,13083663367/13298118520,管城回族区康宁街31-33号
大视野视光中心,18695882513/18530934490,高新区瑞达路正弘高新数码港东门公寓3、4号电梯厅8楼139号
遇见花艺馆,15737113760,管城回族区航海东路与第七大街交叉口宏光合园
圆缘花艺鲜花店(天旺广场店),13674989096/13674982269,金水区东风路与天明路向南同乐花园小区4号楼
蜜花坊鲜花店(绿地新都会店),15036197852/13937195523,金水区金水东路80号新田360广场A127号
小庭芳华鲜花(东风路店),15093197983/18937166893,金水区东风路轻工业学院东200米路北风尚公寓405
深度缔造鲜花商行(黄河路店),0371-65369520,金水区黄河路93号院人民医院正对面
Mflower花店,17335756601,管城回族区朝凤路与岔河路交叉口西50米路北
明朗眼镜,13683827133/18537199791,金水区红旗路金城时代广场11号楼东门口（张仲景大药房对面）
枝後花艺,18838092960/13949067842,金水区平安大道与湖心环路交叉口西北角汇艺悦公馆510室
依家花店,18738193913,管城回族区紫荆山路56号8层0803号
七里香花坊(国贸店),13623833313,金水区花园路与红专路交叉口西行40米路北（印刷厂家属院底商）
小清新花艺(人民西路店),15002080165,新郑市人民路西亚斯国际学院行政楼北侧（靠近爱尚宾馆附近120米左右）
和花说植物花店(帝湖花园店),15038377307,中原区滨湖中路帝湖花园110号楼底商
乡野鲜花,15639275291,金水区花园路与农业路交叉口锦绣正弘国际
小清新花艺(新密市店),15002080165,新密市新密第一人民医院向西200米（新都市花园旁50米左右）
锦尚鲜花(玫瑰园鲜花),13838001735,中原区秦岭路汝河路向西100米路北
经典鲜花,0371-65990859/15517106976,金水区纬二路11-3号
花语季鲜花店(农科路店),15690873029/13027779583,金水区农科路25-6号（近政七街）
爱心花坊(金水万达金街店),13949115746,金水区农科路与科源路交叉口万达金街1层商铺39号
花言草语鲜花店,15824899519,管城回族区航海路与豫英路交叉口裕康嘉园
沐阳花店(新世界百货店),17839991126,管城回族区紫荆山路商城路交叉口向北50米路西
悦薇记鲜花(远大理想城店),13703990147/13849027151,管城回族区经北二路66号远大理想城27号楼一单元
上海恩科眼镜(升龙汇金店),15890150730/13273815823,金水区南阳路与宋寨南街交叉口西北角升龙眼镜城内（一楼2号入口进来左转第二家）
象湖鲜花(郑商店),13253382875/18568453681,中牟县前程大道文明路商业街西头二楼南排106号（郑州工商学院旁）
小姐姐的鲜花店(正弘数码港店),13393720777,高新区科学大道正弘数码港（郑州大学 升龙又一城，信息工程大学，祝福红城，河南工业大学）
绿色港湾鲜花绿植店(国贸360店),15936208675,金水区花园路与农业路交叉口国际企业中心B座17楼1702室
梦镜眼镜工作室(中原万达店),15238623730,中原区中原路秦岭路中原万达B座11楼
花屿?花艺馆(经一路店),17719852818,金水区经一路与黄河路交叉口向南150米路东
木槿花集,15093161641,中原区工人路中原新城学府小区南门西50米
海鸟花艺(紫荆山商城路店),15290857796/13223082662,管城回族区商城路12号
梁缘花坊,13592569451,金水区国基路中方园路交叉口陈寨花卉市场鲜花区102号（靠近郑州海洋馆）
鲜花花语传情(唯美花艺),13513891657,管城回族区商城路8号（近回民第二小学）
永视达眼镜店,18736002950,中原区中原路171号
玖月花坊(东风路店),13027520371/13460302221,金水区东风路蓝堡湾世豪小公馆（近金水万达，近科技市场）
芙莱花艺,15238326058/17737788791,金水区商都路通泰路交叉口向北200米路西
拾里花艺?鲜花定制(万科城店),16637105220,高新区科学大道红叶路万科小世界c座620（万科城采薇苑东门）
宝视达眼镜(三全路长兴路店),0371-61319692,惠济区三全路长兴路交叉口西20米路南
花冠鲜花(花语花店),15136128192,高新区梧桐街向东200米
天马座花艺(花园路店),400-865-8182,金水区花园路国贸新领地8楼
畅欣眼镜店(祝福红城店),15537161561/13674931355,高新区梧桐街石楠路交叉口向南200米路西
芳默鲜花(曼哈顿店),13273802552,金水区金水路288号
木槿集花馆(蓝宝湾店),13683813070/13803835614,金水区东风路文博东路世博中心2613室
明宸配镜中心,13613808281,金水区南阳路与东风路口往西500米路北
小姐姐的鲜花店(万科城店),13393720777,"高新区红叶路万科城小世界公寓（万科城,轻工业大学,格力电器）"
深度缔造花卉商行(京广路店),15538196681/13383826098,二七区京广路与淮河路交叉口向西50米路北
喜迎门花艺婚庆,15038399617/18137278488,中牟县敬业路白沙小商品城一楼南门口
和花说植物花店(国贸店),15038377307,金水区花园路国贸新领地底商4-1
两只小熊鲜花速递(中原万达店),15237196346/15093334502,中原区秦岭路与中原路交叉口向西300米
尚爱花艺(二十一世纪店),15515691888,金水区郑州市金水区金牛路杨君柳弄贸市场门口东第一间
爱丽丝花坊(蓓蕾花行),15093487161,金水区陈砦花卉市场切花区61号
左花(91店),13673622917,金水区金水东路黄河南路交叉口北200米路西（CBD）
秋雅花艺,13623803092,二七区大观国贸中心1区11层A1137号
花意浓鲜花速送(新世界百货店),17337107560,管城回族区华林新时代广场22楼
和花说植物花店(曼哈顿店),15038377307,金水区福元路英协路西200米（曼哈顿）
花痴坊鲜花店(熙地港店),0371-56003518,金水区农业东路与众意西路交叉口向北30米
左店眼镜(兴荣街店),0371-55011078/13283713777,金水区聚源路与兴荣街交叉口五星花园
520鲜花(西彩花艺),13526573527,二七区西陈庄后街39号
玫瑰之约(新密店),15838362461,新密市西大街新西宾馆隔壁（丹尼斯金博大东300米路北）
畅欣眼镜店(工程学院店),0371-56790518,新郑市祥云路与文昌路交叉口向南100路西（维纲中学对面）
畅欣眼镜店(悦府海棠店),17303822972,新郑市文昌路与祥和路交汇处往北200米路西悦府?海棠门口（悦府.海棠北区东大门）
天马座花艺(南阳路店),400-865-8182,金水区黄河路76号
爱丽丝花坊(宝龙广场店),0371-56608878,金水区农业东路天泽街宝龙广场
喵喵花坊(大石桥店),13949115746,金水区南阳路金水路清华园SOHO广场D1516室
海鸟花艺(大学路店),13223082662/15290857796,二七区大学路80号
一朵花艺鲜花店(丰产路店),17173865678,金水区丰产路与东明路交叉口东行100米路南
玫瑰缘分鲜花(玉凤路店),15343836656,金水区郑汴路与玉凤路交叉口向南300米路西（陈寨花卉市场玉凤路店4楼）（郑东新区 东建材）
HouGarden花店,15537113158,管城回族区东风南路康宁街东北角海汇中心一楼7号楼一层（海底捞楼下）（海底捞）
大自然花艺鲜花店,15738831361/18339978078,中原区中原路万达写字楼A座8层（中原路与秦岭路交叉口）
睛彩视野眼镜,18839896509/15538097265,新郑市龙湖镇双湖大道世纪公元万佳购物广场2楼1号电梯口旁
芊寻花艺(医学院店),13837103024/13939021231,二七区建设东路金源大都汇5楼
红日花坊,15238696575,上街区淮阳路与许昌路交叉口向西200米路南
恋花鲜花店,15324965652,管城回族区航海东路70号院16号楼2单元2层201
原野鲜花店,18203603881,二七区郑密路88号院珠江荣域15号楼1-2层附4号
爱花居鲜花店(农业路1408店),400-051-8210,金水区经三路与农业路交叉口西南角
花里鲜花?Flowers in life,18603826836/15736715139,二七区大学北路77号（锦鲤坊旁边）
郑州鼎岩光学眼镜验光配镜中心,18860371977,二七区南三环连云路橄榄城都市广场B座607
岛上花房,13523009677/13633812890,巩义市石河路朗曼新城别墅区入口旁
沐阳花店(国贸店),17839991126,金水区丰产路9号
目匠眼镜(国贸店),18638010665,金水区花园路丰产路国贸创意楼二号楼一单元16楼1601（农村信用社和地下停车口中间上楼）
那片花儿(帝湖百货店),13937102312/17839931193,中原区航海路桐柏路帝湖百货4楼1323
大自然鲜花坊鲜花速递,18339978078,金水区商务东五街与商务内环路交叉口新蒲大厦
悠然鲜花,15937103817,金水区郑州文化路农业路交叉口向南100路东
天马座花艺(富田店),400-865-8182,管城回族区航海东路和中州大道交叉口富田太阳城8楼
爱尚鲜花,15093251836,新密市刘寨镇028县道（银基国际旅游度假区）
视野联行眼镜(全国连锁-太格茂店),17761661763,金水区平安大道与博学路交叉口局外?太格茂7层730室
明视达眼镜(花园路店),0371-65957568,"金水区花园路与纬二路交叉口,花园路84号附2号"
鲜花?花语轩(花情花意),15036037585,二七区福寿街金林商场B1025（金林鲜花批发市场内）
海鸟花艺(曼哈顿店),15290857796/13223082662,管城回族区商城路9号
阳光鲜花(瀚海北金店),15238001107/15736785068,金水区文化路瀚海北金4楼
有阵花香,18137879047,金水区升龙凤凰台C区4号楼2407（未来路纬二路交叉口）
缤纷花艺鲜花,13733835927,金水区红专路与政七街交叉口西南角国贸附近（近国贸360大商新玛特）
深度缔造花卉商行,13383826098,金水区国基路陈寨花卉市场鲜花区73号
镜花圆花艺坊(大学路花卉市场店),0371-56786928/13503813884,二七区大学路与政通路交叉向北100米路东3楼3063
爱花居鲜花店(农科路1988店),400-051-8210,金水区农科路25号院1号楼1层11号
利明眼镜城(顺河路店),0371-66313305,金水区顺河路2号（顺河路凌云路交叉口向东150米路北）
芊寻花艺(天旺广场店),13837103024/13939021231,金水区东风路同乐花园15号楼
e家花坊,15039073856,金水区南阳路与生产路交口向东200米路北
阳光鲜花(金水万达店),15238001107/15736785068,金水区科新路与科源路交叉口西南角
花花坊,18638582260/18638582202,金水区国基路陈砦花卉市场鲜切花1号
新月鲜花批发,15638164199,惠济区江山路双桥花卉基地鲜花区2期14号
花渡花店,18137868517/18135773397,管城回族区康平路西侧郑东商业中心B区9号楼1层117-118号
花总卉绿植店(国贸店),15890103428,金水区花园路国贸新领地2号楼3单元2205室
那年花开,18837119500,二七区嵩山南路亚星盛世家园55号楼一楼瀑布隔壁
Na’s flowers 娜些花儿鲜花店(城东路店),17737789426/18337199540,金水区城东路111号
柒月花艺工作室,15136101081,管城回族区经北一路报国大厦
缔花坊花店(兴荣街店),18838027117,金水区黄河南路与兴荣街口西100米路南
酷木鲜花店(大卫城店),15617952586,金水区太康路与二七路交叉口向西50米路北（丹尼斯?大卫城旁）
雷诺眼镜(兴荣街店),0371-55622967/18137837720,金水区兴荣街与千宁街交叉口向南路东（大地东方名都西门）
心明堂眼镜工坊,19939966132/13703840555,二七区大学路政通路花卉市场
拾光鲜花店,0371-56656562,金水区通泰路与兴荣街交叉口南50米路西
半夏花坊(曼哈顿店),15303835890,金水区金水路与未来路交叉口向北50米路东（升龙大厦楼上）
珍爱鲜花连锁(新兴路店),4006231316,巩义市新兴路与桐本路交叉口
爱丽丝花坊(花情巧意花艺馆),13526684089,金水区丰产路91号院6号
护花者花艺,15515663632,二七区中亨花园3号院5号楼（二七广场万象城大卫城大上海火车站商圈）
梦语花缘花艺店(龙子湖大学城店),17335710906,金水区东四环路金光农民花卉创业园B馆3排23号
一品鲜花连锁店(医学院店),0371-65335875/15803820572,二七区康复中街10号
花样年华(美美花卉店),400-897-8769,金水区丰庆路283号
深度缔造花卉商行(福都店),13383826098/15538196681,管城回族区航海东路与未来路交叉口福都购物广场
左花96店(郑州市金水区袭人花店),0371-65970550/13673622917,金水区纬五路经四路交叉口东南角袭人花店（河南省人民医院）
小艾花艺(中原万达店),15517558291,中原区前进路王府一号内
唯爱鲜花(南阳路店),13303812916,惠济区南阳路与兴南街交口昌建誉峰11号楼2302室
鼎尚鲜花店,13676932095,管城回族区紫荆山路56号
俊俊绿植鲜花,15538063696,二七区陈砦花卉市场大学路店4楼4140俊俊花店
天马座花艺(国基路店),400-865-8182,金水区国基路花园路交叉口向北300米恒华大厦10楼
七里香花坊(曼哈顿店),13623833313/13253300877,金水区未来路燕庄地铁一号线A出口北行400米路西
沪花拾者(格格花卉工程绿化),18239906326/18137271327,金水区农业东路与九如东路交叉路口
摩兽鲜花定制(熙地港店),0371-63333677/18939508758,金水区农业东路与众意西路交叉口向北40米
