企业名称,法定代表人,联系电话,企业地址
长垣县金谷农林种植有限公司,张中社,0373-8822272,蒲西区亿隆中央花园30号
河南省睿恒复合材料有限公司,索近善,13939989894,新乡市卫滨区沈小营村委会东头(路南)第一户
河南优益堂生物科技有限公司,王康,0373-8856999,长垣县南蒲区宏力大道与纬四路交叉口东500米
原阳县孝慈农业发展有限公司,王辉,15801513807,原阳县蒋庄乡河北沿村
长垣县培起农林有限公司,刘培起,15737358999,长垣县赵堤镇前桑园村
河南广鹏建筑市政工程有限公司,林广军,18603739767,新乡市平原路中段291号院市政工程处6号楼1单元11201室
新乡聚商仓储物流港建设开发有限公司,张希强,13803801632,新乡市工业园区锦绣大道1号
河南天酬医药连锁有限公司,施文福,18738573717,辉县市太行大道中段
河南祥云矿制品有限公司,刘玉海,0373-5279666,新乡市石榴园小区二号
河南信善二手车交易市场有限公司,范晓民,0373-6098366,辉县市孟庄镇西
新乡市岩力达机械设备有限公司,岳志鹏,0373-7197750,河南省新乡市凤泉区产业集聚区陈堡园区8号
河南省顺程滤清器有限公司,郝好磊,0373-3930889,新乡市凤泉区耿庄村西康发公司院内
新乡市猛狮峰谷源新能源发展有限公司,侯方圆,15861074065,原阳县黄河大道北侧鑫源花园26#-1.2层-004
河南瑞垣生物科技有限公司,程瑞红,15037382986,长垣县蒲西街道建蒲社区
封丘县鑫润建筑劳务有限公司,张伟,13523736638,封丘县应举镇东大村
河南正乐商贸有限公司,乔东方,0373-8072555,长垣县南蒲巨人大道河南金箍制动器股份有限公司内
原阳县七星通信工程有限公司,李立峰,13333802020,原阳县城关镇北西村
辉县市鑫锐铸钢有限公司,黄永刚,15137377672,辉县市常村镇王井村南400米
河南省国宾贸易有限公司,赵国庆,15903095191,长垣县东外环路
新乡市沃金科技有限公司,张伟,15836030000,获嘉县同盟大道中段中央商务公馆
河南省,李伟霞,13383800699,长垣县樊相镇鑫源商贸城
获嘉县五谷香种植服务专业合作社,杨灵恩,18237319525,获嘉县冯庄镇新安屯村南原饮料厂南院
河南昌源教学设备有限公司,周广豪,0373-8410939,封丘县尹岗工业区
河南京师法律咨询有限公司,郑维良,18614049850,新乡市开发区丰华路佐今明家属院1号楼3单元6层东户
辉县市永盛农牧有限公司,宋思远,18568216668,辉县市高庄乡土楼村东北
获嘉县祥源种植服务专业合作社,尚保辉,18625968989,河南省获嘉县太山镇韩小营村南300米路东
河南晟安轨道科技有限公司,丁腊梅,13569872805,长垣县蒲东街道胡大门街8号
河南省强彩广告传媒有限公司,刘秀玲,18737340528,长垣县蒲东区东内环路西侧
河南祥穗农副产品有限公司,王晓光,15560255516,牧野路与北环路交汇处新乡市牧绿菜业股份有限公司东院区南北号11间
新乡市诺士达生物工程有限公司,张民生,13938717388,延津县城东大街
河南超一贸易有限公司,刘朝贺,18937333488,长垣县南蒲区国际万商城56栋3号
新乡市豫冰制冷设备有限责任公司,孙亮,13503446359,河南省延津县城关镇高中路70号
获嘉县超庆种植服务专业合作社,聂向军,13603736382,获嘉县大新庄乡段岩村2组101号
洛阳中侨国际旅行社有限公司原阳门市部,邢爱国,17719864769,原阳县城关镇北干道东段
获嘉县美利丰农牧服务专业合作社,冯永干,15090399099,获嘉县大辛庄供销合作社院内
新乡市智广商贸有限公司,刘志广,13837337012,延津县小潭乡新安社区
卫辉市新利种植专业合作社,武新利,13243491919,卫辉市顿坊店乡后稻香村
获嘉县杰奥农牧服务专业合作社,宋杰,13083738833,河南省获嘉县亢村镇府庄村北头
新乡市红云矿产品有限公司,黄红云,18860353277,牧野区大朱庄村
原阳县聚泉德农牧专业合作社,娄进宝,13569408330,原阳县官厂乡李庄村
河南省美图三力喷绘广告有限公司,刘震,13525020588,牧野区中原路357号(天泉宾馆东侧)
新乡市锦荣建材有限公司,边文西,13839067984,河南省新乡市封丘县王村乡边王村88号
新乡市新燃管道技术服务有限公司,裴德义,13503738168,新乡市红旗区胜利路与纺织路丁字路口向南100米路东
封丘县振亮种植专业合作社,马明珍,13782574186,河南省封丘县黄德镇枣园村3组
河南启迹文化传媒有限公司,李旭,15516586693,河南省新乡市市辖区(高新区)新乡市新飞大道1789号高新区火炬园内H‖201-217(2124)
新乡市农丰农机农民专业合作社,王明利,15637319501,新乡市凤泉区大块镇东郭村
新乡市东顺建材科技有限公司,杨玉东,13938761728,卫辉市唐庄镇东连岩村
新乡县大召营镇高庄植保专业合作社,文春花,18237378612,新乡县大召营镇后庄
新乡市新谷动力网络技术服务有限公司,杜阳明,0373-2851888,新乡市华兰大道与牧野大道十字口南100米西电子信息科技园516、519、520
河南康万森医疗器械有限公司,高海涛,13523242288,新乡市新二街356号国贸大厦1132室
河南隆祥药业有限公司正泰大药房二十九部,杨希,0373-2811657,新乡市劳动南街181号
新乡市通泰化工有限公司,张帆,15203733603,新乡市凤泉区大块镇陈堡村
原阳县文凯种植专业合作社,闫业凯,13598709575,原阳县葛埠口乡李聪寨村
长垣县宝工起重配件销售有限公司,王金云,0373-8619888,长垣县起重工业园区(董占路口)
河南惠拓人力资源有限公司,孔金梅,13183090350,河南省新乡市新飞大道1789号高新区火炬园内HⅡ201-217(2143)
新乡县同创农牧专业合作社,王增光,0373-5716666,新乡县朗公庙镇张庄村
原阳县鼎昌农牧专业合作社,贺振明,15090343854,原阳县蒋庄乡靳屋村
新乡市领谊服饰有限公司,魏铁岭,13949638385,新乡县翟坡镇海伦大道西段
封丘县建华种植专业合作社,王建华,13598612448,封丘县黄陵镇旧黄陵村
封丘县君发种植专业合作社,凡保军,13569417507,封丘县城关镇西关村
延津县长兵农业种植专业合作社,申长兵,15090406788,延津县司寨乡高寨村
合伙辉县市祥泰再生塑料厂(普通,,13462343422,辉县市赵固乡小岗村500米
河环新乡市天,王瑞,13837376506,新乡市人民西路180号高村五金电料市场3排西7、8号
辉县市碧桃春林果专业合作社,李春山,13782537548,辉县市沙窑乡水寨窑村
卫辉市茂森种植专业合作社,李菊香,13462248489,卫辉市狮豹头乡雪白庄村
封丘县鑫鑫种植专业合作社,王丙树,13598707898,封丘县王村乡瓦窑村
河南桓溪网络科技有限公司,王秋红,18003910125,长垣县蒲东兴隆国际西街45号
新乡市泽启食品有限公司,裴上海,18224588083,辉县市张村乡裴寨村
新乡市蓝图工程测量有限公司,金振鑫,15617110139,河南省新乡市封丘县荆隆宫乡陈寨村116号
新乡县爱民植保专业合作社,李兴涌,13673515974,新乡县七里营镇中曹村
新乡市富铭物资有限公司,张宇芳,13233823898,牧野区北环二路路西新乡市第一木材公司院内
封丘县宏远种植专业合作社,李海峰,13183099555,封丘县赵岗镇后留固村
封丘县建永养殖专业合作社,王建永,13639634134,封丘县回族乡前荆乡村北
封丘县太海种植专业合作社,王太海,18303637195,封丘县曹岗乡王卢集村
封丘县凯思电子商贸有限公司,王亚南,15565100759,河南省新乡市封丘县世纪大道183号电子商务产业园9号楼303室
河南豪诚机械设备有限公司,李林法,18637338853,新乡市平原路348号金谷时代广场A座2501号房
原阳县浩田建材有限公司,王玉花,13353665588,原阳县城关镇家属院
封丘县前葛塔盛源养猪专业合作社,陈焕庄,13409220868,封丘县城关乡前葛塔村南地
新乡市一岩建材贸易有限公司,郭树新,13937353777,河南省获嘉县照镜镇楼村东北角二楼
长垣天程商贸有限公司,程全涛,13937304563,长垣县张三寨镇张东工业区
封丘县志宏种植专业合作社,马建党,13849365285,封丘县陈桥镇时寺村
新乡市众鑫驾驶员培训有限公司,刘红凯,0373-5467777,新乡县大召营镇店后营村南
河南万物清扬文艺创作有限公司,郝好华,15637396616,河南省新乡市牧野区凤岗东三巷16号
辉县市平心劳务分包有限公司,马利君,13837393871,辉县市学院路与迎宾大道交叉口西北角
河南品尚网络科技有限公司,王梦莹,15537309624,新乡市平原路348号金谷时代广场A座2310号房
河南车尚往来汽车配件商贸有限公司,高永臣,18790679795,长垣县魏庄梁寨村147号
新乡市中辉纸业有限公司,王涌雯,0373-5651012,新乡县七里营镇龙泉村
河南万盛价格评估有限公司,邵佳川,15937392423,新乡市华兰大道与解放路向东200米路南
封丘县汪寨金银花种植专业合作社,王刚,13837357969,封丘县城关乡汪寨村
封丘县勇静土地流转专业合作社,刘志勇,15938194010,封丘县城关乡万寨村
河南省晟电工程有限公司,魏俊昭,18638315670,魏庄办事处花园社区8号楼4号商铺
新乡市誉达制冷设备有限公司,李振东,17737356391,新乡市延津县城关镇南街六支桥南203号
河南省艺尔畅卫生用品有限公司,薛波乾,13598627988,长垣县丁栾镇薛官桥
河南省新乡市强生泡沫塑料有限公司,田利民,13938757680,新乡县朗公庙镇北街
新乡市美和快印有限公司,王蕾,0373-3060021,新乡市平原路世纪村12座商铺东数第1户
新乡市凯航医疗设备有限公司,田凯,13569821317,封丘县陈桥镇韩堂村
获嘉县地产中心,施应富,0373-4511826,获嘉县土地局*
新乡市万家易居酒店管理有限公司,刘连强,13938728895,河南省新乡市市辖区丰华街123号公安小区6号楼2单元2楼西
新乡市世博医疗器械有限公司,赵乐义,13903732636,新乡市红旗区人民路商业步行街G型楼五层北2号
新乡市大业运输有限公司,吴方孝,0373-4811078,获嘉县西环路南段
获嘉县多赢金属回收有限公司,浮光森,18338919991,河南省新乡市获嘉县徐营镇北街获武路北中太加油站西邻28号
封丘县永宪种植专业合作社,白永宪,15936556456,封丘县陈桥镇辛庄驿村
新乡市千源物业管理有限公司,朱亚杰,18837303336,延津县建设路北段
河南宜佰家置业顾问有限责任公司,王哲,18639096619,河南省新乡市市辖区(高新区)嘉联橄榄城A-3号楼1单元1103号房
河南省源润家具科技有限公司,田松,13613739883,长垣县蒲东区长城商贸城C区58号
长垣县祥鹏广告有限公司,王小玮,15090429777,河南省新乡市长垣县国际万商城52幢11号
河南省嘉翼国际旅行社有限公司七里营门市部,王会,15503737301,新乡县七里营镇青年路南段
新乡市康之源商贸有限公司,王燕明,15603807605,新乡市平原路348号金谷时代广场103室
长垣耀宸企业管理有限公司,张源,0373-8118588,长垣县蒲东区东外环路东侧龙逄大道962号
汇农辉县市百泉,蔡福昌,13598743598,辉县市百泉镇百泉村
新乡市卫滨区元素文化传媒有限公司,郭杏梅,15537317475,河南省新乡市卫滨区馨华佳苑1号楼1单元25层12501室
新乡市运启膜结构有限公司,李清云,15090337779,新乡市向阳路679号松江·帕提欧小区1号楼2单元21001室
新乡市福贵土石方工程有限公司,刘福贵,13837365091,河南省新乡市原阳县葛埠口乡胡沙窝村188号
新乡市鸿强包装机械有限公司,赵广山,18338937111,新乡市卫滨区平原镇东水东村
新乡市中杰之星汽车服务有限公司,王琨,15560116697,河南省新乡市卫滨区胜利路与南环路向东500米路南
新乡市南系起重机械有限公司,倪建琴,18637330155,长垣县魏庄工业园区纬十路魏庄段
长垣县创实建设工程有限公司,张建昌,15993002666,长垣县常村镇常西村润景园平安大街18号
长垣淘素电子商务有限公司,蔡素娟,17133808291,长垣县魏庄办事处参木村
长垣县丹城物业管理有限公司,林志敏,15836019567,长垣县蒲西区欧洲小镇三期91号商铺
原阳县金缘广告有限公司,常媛媛,15837311166,原阳县城关镇西干道
新乡市瑞宝医疗器械有限公司,孙文岭,13837314035,牧野区牛村市场社区路西二排9号
新乡市汇新协创科技服务有限公司,徐双,18738319268,新乡经济技术开发区经八路一号中关村e谷(新乡)科技创新基地5层18号
新乡市腾鹰网络科技有限公司,周利军,15737347555,辉县市和谐路中段路西
新乡市晟昊物业管理有限公司,刘红星,18639090909,封丘县幸福路中段1288号
新乡市承诺达快递有限公司冯庄镇营业部,崔会宁,18337383735,河南省获嘉县冯庄镇冯庄村地下道北
获嘉县舒齐堂调料有限公司,王舒齐,15837315595,获嘉县胜利路南段环保局北邻
原阳县智胜粮油贸易有限公司,宋伟力,15936578060,原阳县城关镇南干道64号
新乡高新区涵阳营销策划有限公司,程云鹏,18625962127,河南省新乡市和平路杨村中街路东50米路南
新乡市港派之星汽车维修服务有限公司,郑春红,18837388080,新乡市红旗区金穗大道122号
辉县市新宇化工有限责任公司,王新海,13523869950,辉县市常村镇周卜村东南
新乡市星空广告有限公司,岳振鸿,13462222218,新乡市豫程小区18号楼南数第六、七套营业房
新乡市国辉机械制造有限公司,陈国全,13937384501,延津县城关镇史良村
获嘉县迎鑫养殖服务专业合作社,罗小九,0373-4551814,获嘉县大新庄乡小呈村
新乡市新橙物业管理有限公司,周军,0373-5899002,开发区27号街坊
新乡市中安机械制造有限公司,田永发,15660129988,牧野区建北一路3号
新乡市晖祥物业服务有限公司,王淼永,0373-5831099,新乡市金穗大道98号福兴国际2号楼西单元一楼附属房
新乡市鼎盛振动设备有限公司,王桂梅,13598622605,牧野区王村镇寺庄顶35号
新乡市星火梦教育咨询有限公司,申会珍,13938728304,河南省新乡市红旗区平原路152号(老烟糖酒公司)院内北楼东侧一间
新乡市兴子家政服务有限公司,杨红艳,18567565257,新乡市红旗区平原路76号普利A座1213室
辉县市交通道路开发有限责任公司,琚宪顺,0373-6292329,辉县市高庄乡岳村
新乡市兴辉电子有限公司,沈震,0373-3513658,新乡市光彩市场C-6栋1-3层018号房
新乡市众豪汽车销售有限公司,李敏,18337310909,河南省新乡市封丘县北干道西段1178号
新乡市友好国际旅行社有限公司原阳分社,杨伟,0373-7555515,原阳县城关镇西干道149号
新乡市天证网络技术有限公司,刘士皓,15039279001,新乡市卫滨区南环路李村新手路南段
新乡市龙途网络文化有限公司封丘县二分店,李怀彬,15903059333,封丘县赵岗镇赵岗村
新乡市恒飞机械制造有限公司,窦风超,18637305031,新乡市高新区午阳路乐华食品有限公司3号厂房
新乡市靳家装饰装修有限公司,靳振峰,13183112511,新乡市平原示范区原武镇菜王村126号
原阳县宜家物业管理有限公司,毛可,13849362555,原阳县靳堂乡卢圪垱村
新乡县小冀镇后勤服务有限公司,张家祥,15836131288,新乡县小冀镇政府主楼一楼109房间
长垣畅想网络工程有限公司,赵广金,0373-8798688,长垣县赵堤镇创业大道68号
新乡市力航装饰有限公司,郑安生,13837329297,新乡市卫滨区梁任旺村
获嘉县青玉坊商贸有限公司,刘世通,15903855876,获嘉县城区健康大道御府左岸
河南中太石化有限责任公司辉县市八里沟加油站,王新立,0373-6090907,辉县市洪洲乡西土楼村辉上路南
新乡市岩盾保健器材有限公司,郭霖,18337303000,河南省新乡市获嘉县宋庄村小庙向北100米
新乡市青葵教育发展有限公司,王辉,13837379892,新乡市红旗区平原路85号华彬阳光广场02层
河南军惠商贸有限公司,陈君,13703431445,牧野区新汲路吕村(平原纸箱厂院内)
中国人寿保险股份有限公司辉县支公司南寨营销服务部,朱俊兰,0373-6221516,辉县市南寨镇乡政府对过
新乡市齐王岭水泥厂,赵永毅,0373-6895045,张村杨圪挡
新乡市鼎祥煤炭经营有限公司,薛冰,13782558225,长垣县丁栾镇工业区006号
长垣县德华种植专业合作社,张稳智,0373-8798999,长垣县赵堤镇大寨村088号
原阳县金旗养殖专业合作社,张林伟,13569882025,原阳县路寨乡苏庄村
新乡市军赫劳保用品有限公司,宋士欢,13803737766,封丘县冯村乡宋淳于村
河南省益昕农业种植有限公司,魏彦军,13598656784,长垣县魏庄办事处丁占村
新乡市宏金鼎机械有限公司,宋吉鸿,13782569818,长垣县佘家乡西邵占村
原阳县宏瑞通力新能源有限公司,胡永强,15560188497,原阳县阳和街道办事处葛埠口村
新乡恒源煤业有限公司,李进英,13803739997,卫滨区平原乡水南村*
河南御乐坊酒店有限公司,李宁,0373-5292808,新乡市金穗大道与新中大道交叉口西北角嘉亿东方明珠裙房及地下室123室
长垣县丰之源种植专业合作社,刘相民,18568217111,长垣县常村镇常村
获嘉县天宝养殖服务专业合作社,王植文,13949644472,获嘉县亢村镇牛屯村
原阳县鼎通快递有限公司陡门营业部,关长豪,15565797462,原阳县陡门乡陡西会场路口
封丘县天宏种植专业合作社,钱丙旭,18738581583,封丘县尹岗镇东杨庄村
河南省长东农业开发有限公司,卓玉存,13578526666,长垣县武邱乡贾庄村坝头北500米
长垣县创兴物资有限公司,徐胜芳,13598738137,长垣县起重园区配件市场
卫辉市常鹏种植专业合作社,常泉鹏,15037315395,卫辉市顿坊店乡甘庄村
获嘉县鑫农丰种植服务专业合作社,秦开江,13353734088,获嘉县中和镇前五福村
河南兆阳医疗设备有限公司,赵敬轩,13782537314,新乡市卫滨区平原镇赵村北地南环路口
河南省豫兴建筑安装有限公司新乡分公司,魏加生,15038279098,新乡市新东大道(南)299号红旗区生产性服务业园区C1号
获嘉县天德种植服务专业合作社,李录尚,13903802586,获嘉县新焦路前李村路北
延津县东亮农业种植专业合作社,苏东亮,15560230818,延津县马庄乡石邱村
河南汇诺人力资源有限公司,王高磊,15225971539,新乡市新中大道南洪门镇新型社区44号楼东单元13楼东户
上海富奈实业有限公司新乡分公司,许华岚,0373-5856297,新乡市红旗区金穗大道与新二街交叉口东南角宝龙营销中心二楼(A区3-1号楼)
长垣县牵手食用菌种植专业合作社,朱敬林,0373-8816885,长垣县蒲西区米屯村
获嘉县鹏帅农牧服务专业合作社,徐彩丽,15617173788,获嘉县亢村镇王官营村北200米路东
广西五鸿建设集团亳州友诚建设有限公司新乡分公司,赵光升,13645001000,新乡市牧野区荣校东路618号理想城30号楼2单元2502室
中国电信集团有限公司新乡县分公司,孔维峰,0373-5908002,新乡经济开发区金谷金鑫广场北2号楼
新乡市中瑞公路养护技术有限公司,刘伟,15036610677,新乡市牧野区中原路5号绿都.塞纳春天8号楼2单元21004室
河南佐今明大药房健康管理股份有限公司辉县市锦绣花园店,杨啸,0373-5832895,河南省新乡市辉县市共城大道西段路北
长垣县自兴养殖专业合作社,张守鸣,15836138281,长垣县常村镇高村三组
河南启之宸网络技术有限公司,刘晓辉,18637387100,新乡市红旗区金穗大道(中)402号国贸中心C座2单元11008室
新乡市东亿商贸有限公司,王斌,15137337466,新乡市凤泉区平原监狱家属院8号楼
新乡市百合光电有限责任公司,任玉芝,0373-3041564,建设西路酿造厂东邻
辉县市玉株种植专业合作社,李保顺,13781924465,辉县市胡桥办事处八十亩地村
诺环新乡市金,梁达,15090317696,新乡市卫滨区西工房5号楼1单元1201室
辉县市春晓种植专业合作社,李海新,13462373588,辉县市高庄乡六台山村
获嘉县广播电视有限公司业务拓展分公司,韩天普,0373-4556523,获嘉县建设路东段
封丘县立存种植专业合作社,曹立存,13781962710,封丘县黄陵镇曹寨村
河南讯诺网络科技有限公司,侯战峰,13937311490,新乡市红旗区金穗大道东段宝龙城市广场B区1-2号楼1单元1614
中国联合网络通信有限公司新乡市分公司新联学院营业厅,李有旺,0373-3028708,新乡市小店工业园区新联学院院内
新乡市天和祥商贸有限公司,许刚,18637392603,新乡市高新区海河路2号楼3105号商铺
河南莱萌文化传播有限公司,邢艺泽,0373-3765280,新乡市华兰大道209号立拓上海城附1号1号楼西区107室
原阳县盛达农牧专业合作社,韩莹莹,15503736405,原阳县陡门乡韦城村
新乡市天成二手车交易市场有限公司榆东分公司,杨俊国,0373-3535777,新乡市榆林乡榆东工业区众盛汽车时代广场1号商业楼1层116#
河南省防腐企业集团有限公司第二工程公司,李崇杰,13781900036,长垣县新城区建蒲路中段路北
新乡市瑞鼎电力设备有限公司,周士全,0373-3090789,凤泉区宝山路东段
长垣县伊世一生黄金珠宝销售有限公司,张新玲,18837326666,长垣县城关镇人民路蒲城商业街中心南端西配楼(中心街老政府商街门口)
封丘县喜羊羊养殖专业合作社,朱壮志,18738592022,封丘县潘店镇营里村
新乡市微光电子商务有限公司,傅炳帅,13598703283,新乡市红旗区新一街与友谊路交叉口宝龙府邸5号楼2单元2103号
新乡市懋基纸业有限公司,凌宇,13803738596,牧野区高湾村
新乡市太行电力电子器材有限公司,杨明振,0373-3312851,建设路10号
长垣县广播电视局电子电器服务中心,唐红章,13569893550,建设路*
新乡市东宏房屋租赁有限公司,马学周,13598692298,新乡市牧野路中段东旭小区对面
河南省纳川基础工程有限公司平原示范区分公司,娄战文,15664091555,新乡市平原示范区原武镇东娄庄村
新乡市响靓电子商务有限公司,李俊杰,18337326225,新乡市平原路195号宏生数码天城2号楼1单元30104号房
新乡市优得钰商贸有限公司,张新爱,13598749799,新乡市高新区和兴街新乡市华盛天龙数控设备有限公司院内
河南安锐供应链管理有限公司长垣县分公司,安淑芳,15036086930,长垣县蒲西区景荣路西段南侧118号
新乡市佳源房产经纪服务有限公司第一分公司,段训利,15537319582,河南省新乡市市辖区(高新区)向阳路启明小区2号楼第8号营业厅
卫辉市油脂有限责任公司,胡勤,0373-4331388,卫辉市后河镇
新乡市百事通旅游有限公司郊委路门市部,王运杰,0373-2671188,新乡市宏力大道(中)489号金谷华庭12号营住楼1-2层商铺116
新乡市现代供热服务有限公司,刘洪松,13343803070,和平路322号103厂院内
获嘉县时新橡胶厂,贺基有,0373-4532056,获嘉县贺庄
新乡县农村信用合作联社三王庄分社,杨素英,0373-5753769,新乡县古固寨镇三王庄村
新乡市红旗区葵燕商贸有限公司,曹文,17630722048,新乡市红旗区金穗大道(东)549号宝龙城市广场B地块二期1区1-3号楼2013室
新乡郑铁商贸有限公司,娄娟,13673731331,新乡市人民路358号天隆城二期嘉亿首席SOHO楼1810
河南迈崎快递有限公司获嘉县营业部,周喜鹏,13262164393,获嘉县凯旋中心花园2号楼西单元1层东户
获嘉县安福养殖专业合作社,张启伦,13525013569,获嘉县冯庄镇小段庄村
新乡市中南永佳食化经营部,王毅宾,0373-2069567,自由路南段
新乡市力伟医疗设备工程有限公司长垣分公司,王喜东,18637369454,长垣县孟岗镇苇园村
封丘县孙庄供销合作社守立门市部,孙守立,13525050575,封丘县荆隆宫乡孙庄村
原阳县靳堂供销社姚寨购销站,王卫生,13569882297,原阳县靳堂乡姚寨村
新乡县农村信用合作联社小块分社,李红旗,0373-5410203,新乡市凤泉区大块镇小块村
河南省科学院新乡市化工实验厂,吴宝立,0373-2689703,西干道41号
新乡朗洁专业保洁连锁有限公司,杜锦霞,0373-3069789,中原路东段256号
新乡市兴华水泥厂,王风智,0373-6881738,王村铺
河南四川欣平建筑工程有限公司,李勇志,15638586250,原阳县黄河大道南侧名门世家商业一号楼1-2层22号商铺
新乡县七里营供销合作社劳保日杂门市部,王爱亮,0373-5601357,新乡县七里营镇青年路
新乡市坤丰摩托车销售有限公司第一分公司,魏海双,0373-3384191,新乡市北干道中段(三利公司隔邻)
河南四川涵天建筑有限公司,余波,028-86146655,长垣县杏坛路南北孔庄新村
新乡市太行五交化供应站,贺桂英,0373-5034780,友谊路1号
新乡电力集团有限公司金草地园林工程分公司,王万杰,0373-3362396,五一路东段
盈科美辰国际旅行社有限公司新乡白鹭门市部,陈龙坦,0373-6391313,新乡市凤泉区恒海大厦一楼
封丘县金属公司第一经销处,曹存记,0373-8291496,县城北干道东段(物资局楼下)
新乡市太洋电子有限责任公司,王建敏,0373-3021003,新延路南煤田3队以东
长垣县农村信用合作联社南街分社,高岩,0373-8892944,长垣县县城南街
新乡市第二轻工业机械厂劳动服务公司,曹永英,0373-3054373,和平路116号
新乡市轻化通用设备厂,王新亚,0373-3368887,东风路东段
河南联发消防技术有限公司新乡分公司,高雁彬,0373-5596119,新乡县小冀镇冀中路北段
合伙获嘉县勇辉塑钢门市部(普通,王绍永,13938700695,获嘉县位庄乡南阳屯村东街九区0448号
中国邮政集团公司新乡市第22报刊零售亭,陈桂洲,18237357172,新乡市新获路与西干道交叉口
新乡县小冀镇头一家大盘鸡饭店,孙明强,15837390222,新乡县小冀镇商城十字
卫辉市比干大道亮亮服装店,任亮亮,13525005889,卫辉市比干大道路西
辉县市胡桥乡南云门志桥小商店,吴玉山,15560189166,辉县市胡桥乡南云门学校大门南侧
延津县大众快餐店,李庄林,15137341114,延津县城关镇小潭村北（新长公路路北）
卫辉市健康路建荣馄饨店,邱建荣,18637359482,卫辉市健康路西段
长垣县联鑫服装销售部,付志联,15803738215,长垣县芦岗乡尚占村95号
新乡县朗公庙镇家毅商店,李公甲,18224586457,新乡县朗公庙镇西马头王村
新乡市红旗区一路行汽车养护中心第六分店,周海军,13903804488,牧野大道达安花园门面房
封丘县黄陵镇远帆手机销售部,田花,18238763456,封丘县黄陵镇黄陵村
新乡县七里营宏运综合门市部,田时琴,13849390404,新乡县七里营镇八柳树村南
辉县市孟庄镇西夏峰清山机械加工,段红仁,13663903164,辉县市西夏峰
卫辉市汲水镇下园村清华便民门市部,唐青华,15136791390,卫辉市汲水镇下园村
辉县市百泉镇爱民农机门市部,秦爱民,13849370684,辉县市百泉镇王家庄
长垣县茶人和顺茶业店,王星,15517315731,长垣县蒲西区匡城路永春花园1幢6单元102号
辉县市张村乡雨轩家菜馆,段文见,13698627463,辉县市张村乡裴寨村
辉县市吴村镇玉红百货部,孙玉红,13409233943,河南省新乡市辉县市吴村镇东常务村
长垣豫海商贸行,宋国强,0373-8876365,长垣县蒲东区东大街23号
原阳县胜利路多莱士快餐店,李永裕,18603739215,原阳县胜利路与建设路交叉口向北100米
新乡市卫滨区鑫光包装材料经营部,张文光,13525026681,老君庵五金电料大市场8区67-68号
新乡市红旗区众鑫小燕美甲店,袁小燕,18737306098,红旗区人民路3分区3号楼1层南数第1间
长垣县柠檬工坊冷饮店,杜志滕,15139318525,长垣县蒲东区县前街路东
获嘉县黄堤镇南马厂村元复母婴生活馆,刘甜甜,18625905816,河南省获嘉县黄堤镇南马厂村水井街33号
卫辉市王府街爱清糖烟酒门市部,景爱清,13072647349,河南省卫辉市城郊乡王府街
获嘉县新华街庆举服装店,江庆举,13598686321,获嘉县新华街
辉县市孟庄镇范屯锐兴废旧收购站,李冬云,18790633001,辉县市孟庄镇范屯
新乡市卫滨区东亮家电维修部,姬东亮,15936546195,孟营西大街28号(3)号房
辉县市时代广场大饰界饰品店,周智云,13781955890,辉县市时代广场步行街二楼
新乡市卫滨区刘阳饺子馆,刘阳,13707650325,新乡市高村农贸市场东排28号
获嘉县红旗路康晨通讯店,冯雪,13262127776,获嘉县红旗路建筑公司楼下
辉县市方山生态园,李佳颖,13839061616,辉县市百泉镇西井峪村东
长垣县雪雨洁具门市部,陈俊章,15893801133,长垣县蒲西区杏坛路欧洲小镇二期61号商铺
封丘县应举镇西陡门加油站,徐红军,18203736777,封丘县应举镇西陡门村
后河卫辉市,杨燕华,13223751145,卫辉市后河镇后河村
新乡市牧野区康源干菜批发部,张香玲,13403734805,北环水产大世界12区8号
获嘉县胜利路二胖擀面皮店,冯文强,13598746034,获嘉县胜利路*
获嘉县史庄镇高庙村国安副食批发部,胡国安,15803739512,河南省获嘉县史庄镇高庙村复兴街中段14号
新乡县翟坡镇文鹏便民店,史来洲,13353660090,新乡县翟坡镇兴宁村
获嘉县佳联西张巨村日用品连锁店,许安锋,18238679600,河南省获嘉县史庄镇中张巨村
新乡市凤泉区新阳光科技电脑店,李倩宾,15036622680,区府路耿庄花园中区4号楼4单元一楼西户
辉县市北云门镇冯庄村小燕美容会所,李伟星,13623733742,辉县市北云门镇冯庄村
卫辉市徐庄全全弹花店,张全,13523734851,卫辉市徐庄新体育场东
延津县成平日化店,路成平,18790516940,延津县城关镇文化路北段
辉县市苏门大道小浩通讯门市部,程号军,15836009899,河南省新乡市辉县市苏门大中段(电信大楼对过)
新乡市牧野区牛村郑瑞芳便民店,郑瑞芳,15670440536,牧野区王村镇牛村282号
辉县市百泉鑫焱门窗厂,郝玉梅,13937325814,河南省新乡市辉县市百泉镇西王庄贵庄村
辉县市常村镇诚信批发部,焦雄伟,13598635004,辉县市常东村
封丘县城关镇海信通手机数码广场,平康康,15560295299,县城黄池路中段路东
长垣县汇美清洁用品厂,毛永研,13526501774,长垣县满村镇小吕村245号
延津县王楼镇老贾干菜店,贾新厢,15903075144,王楼乡王楼村
长垣县慧先烟酒副食超市,佘慧先,18237378052,长垣县佘家乡南街
新乡市红旗区邢家食品商铺,邢晨磊,13603733153,红旗区东大街32号
